Date,Open,High,Low,Close
2022-09-15,29.26,29.63,27.68,28.1
2022-09-16,25.76,26.86,24.6,26.85
2022-09-19,25.44,27.46,25.44,27.45
2022-09-20,26.19,26.26,24.86,25.91
2022-09-21,26.69,26.86,23.31,23.39
2022-09-22,23.37,23.37,20.85,21.04
2022-09-23,16.82,16.84,15.66,16.84
2022-09-26,16.25,17.36,15.48,15.5
2022-09-27,16.63,17.36,14.93,15.78
2022-09-28,15.86,20.08,15.86,19.09
2022-09-29,16.35,17.24,15.83,17.02
2022-09-30,16.58,18.92,16.58,16.6
2022-10-03,18.52,20.58,18.52,20.23
2022-10-04,23.75,25.31,23.75,25.3
2022-10-05,23.61,25.46,22.79,24.95
2022-10-06,25.21,25.72,24.33,24.38
2022-10-07,23.04,23.04,21.05,21.29
2022-10-10,21.3,21.52,20.26,20.84
2022-10-11,19.88,21.83,19.4,20.41
2022-10-12,19.51,21.03,19.37,20.57
2022-10-13,16.96,24.09,16.96,23.89
2022-10-14,24.5,24.5,21.06,21.29
2022-10-17,23.93,24.97,23.89,24.83
2022-10-18,26.87,26.87,25.33,26.41
2022-10-19,25.57,26.14,23.67,25.03
2022-10-20,24.96,26.07,22.86,23.41
2022-10-21,23.67,26.81,23.67,26.81
2022-10-24,27.18,27.51,26.35,27.16
2022-10-25,29.18,30.83,29.18,30.6
2022-10-26,31.94,33.64,31.5,31.5
2022-10-27,32.75,34.28,32.11,32.22
2022-10-28,32.82,35.76,31.78,35.7
2022-10-31,35.05,36.45,35.05,36.09
2022-11-01,38.01,38.01,36.15,36.53
2022-11-02,35.73,37.68,32.63,32.65
2022-11-03,30.43,33.13,30.21,32.31
2022-11-04,34.26,35.4,32.53,34.56
2022-11-07,35.83,36.47,34.52,36.2
2022-11-08,37.16,38.32,35.48,36.95
2022-11-09,35.59,35.91,33.04,33.14
2022-11-10,39.51,42.31,39.51,42.29
2022-11-11,43.67,44.54,42.86,43.92
2022-11-14,43.55,44.33,42.05,42.05
2022-11-15,45.18,45.18,43.61,43.84
2022-11-16,43.66,43.66,41.48,41.8
2022-11-17,39.1,41.05,38.98,41.03
2022-11-18,43.13,43.13,41.12,42.47
2022-11-21,41.63,41.81,40.55,41.45
2022-11-22,43.33,43.95,42.82,43.95
2022-11-23,44.91,45.32,43.94,45.08
2022-11-25,45.5,45.84,45.5,45.84
2022-11-28,45.08,45.08,41.73,42.17
2022-11-29,43.26,43.98,42.67,43.21
2022-11-30,44.68,47.55,42.38,47.52
2022-12-01,49.54,49.54,47.72,48.09
2022-12-02,46.6,48.79,46.6,48.57
2022-12-05,47.73,47.73,43.81,43.93
2022-12-06,44.46,44.46,41.46,42.19
2022-12-07,42.88,43.1,41.51,41.54
2022-12-08,42.67,43.99,42.04,42.44
2022-12-09,42.61,42.85,40.76,40.78
2022-12-12,41.44,43.69,41.44,43.46
2022-12-13,49.66,49.66,44.23,44.96
2022-12-14,45.72,46.16,43.08,43.4
2022-12-15,40.88,40.88,38.46,38.69
2022-12-16,37.24,37.84,35.94,37.75
2022-12-19,37.85,37.85,34.93,35.64
2022-12-20,35.58,37.21,35.4,36.43
2022-12-21,38.08,39.89,38.05,39.22
2022-12-22,37.56,37.56,34.66,37.11
2022-12-23,37.13,38.59,37.13,38.43
2022-12-27,38.69,39.57,38.27,38.75
2022-12-28,39.21,39.21,35.2,35.2
2022-12-29,36.93,39.77,36.93,39.57
2022-12-30,38.07,38.95,37.61,38.92
2023-01-03,40.66,40.66,37.02,38.59
2023-01-04,40.84,41.88,39.9,40.66
2023-01-05,39.23,40.19,38.85,39.34
2023-01-06,41.57,44.12,40.68,43.76
2023-01-09,45.42,46.54,44.36,44.47
2023-01-10,45.4,46.61,44.79,46.61
2023-01-11,48.18,49.5,48.15,49.5
2023-01-12,50.48,52.08,50.36,51.98
2023-01-13,51.25,53.16,51.25,53.16
2023-01-17,53.38,53.96,52.72,53.17
2023-01-18,55.24,55.31,50.24,50.24
2023-01-19,48.36,49.38,47.59,48.52
2023-01-20,49.45,52.3,49.45,52.3
2023-01-23,53.11,55.15,53.11,54.62
2023-01-24,53.9,54.69,53.89,53.89
2023-01-25,52.36,54.67,52.07,54.67
2023-01-26,55.14,55.83,54.3,55.82
