time,open,high,low,close,Chars,EMA,EMA2,EMA3,Volume,%K,%D,Shapes,Shapes,Shapes,Histogram,MACD,Signal
2002-05-14,65.31,65.31,65.31,65.31,NaN,63.892288212074725,62.96942667963801,NaN,NaN,46,34,NaN,NaN,NaN,-0.1471246983260617,-0.11283054389117098,0.03429415443489073
2002-05-15,65.45,65.45,65.45,65.45,NaN,64.03389837461339,63.06670406475025,NaN,NaN,59,50,NaN,NaN,NaN,-0.002200030312731395,0.031544116543976486,0.03374414685670788
2002-05-16,65.3,65.3,65.3,65.3,NaN,64.1489985223758,63.15428429750514,NaN,NaN,61,56,NaN,NaN,NaN,0.07887098464666221,0.13233287766503565,0.05346189301837344
2002-05-17,65.91,65.91,65.91,65.91,NaN,64.30908956579619,63.26235157995592,NaN,NaN,69,64,NaN,NaN,NaN,0.163991551928455,0.2584513329289422,0.09445978100048719
2002-05-20,64.25,64.25,64.25,64.25,NaN,64.30371778708744,63.301082890545885,NaN,NaN,54,57,NaN,NaN,NaN,0.10194827257606165,0.22189512172056425,0.1199468491445026
2002-05-21,62.85,62.85,62.85,62.85,NaN,64.17156162462494,63.28339336542644,NaN,NaN,39,45,NaN,NaN,NaN,-0.03272181172647333,0.07904458448641094,0.11176639621288427
2002-05-22,62.28,62.28,62.28,62.28,NaN,63.999601476931765,63.244044605997956,NaN,NaN,26,32,NaN,NaN,NaN,-0.1528101014092998,-0.07924623054874047,0.07356387086055932
2002-05-23,63.47,63.47,63.47,63.47,NaN,63.95145588811979,63.25290560184117,NaN,NaN,38,35,NaN,NaN,NaN,-0.1447962046886279,-0.10743138500022553,0.03736481968840235
2002-05-24,62.41,62.41,62.41,62.41,NaN,63.811323534654356,63.21985048020034,NaN,NaN,27,29,NaN,NaN,NaN,-0.2001701647404301,-0.21284788623713524,-0.012677721496705166
2002-05-28,62.1,62.1,62.1,62.1,NaN,63.6557486678676,63.17593477509445,NaN,NaN,19,21,NaN,NaN,NaN,-0.24405213474437554,-0.3177428899271746,-0.07369075518279905
2002-05-29,61.34,61.34,61.34,61.34,NaN,63.44522606169782,63.10393733293388,NaN,NaN,6,11,NaN,NaN,NaN,-0.3065924871802309,-0.45693136415808766,-0.15033887697785678
